ID,Name,Email,Origin Country,Amount,Payout Channel,Purpose,Recipient Wallet,Claim PIN,Tx Hash,Stellar Expert URL,Rating,Feedback,Timestamp
"1","Maria Santos","maria.santos.85@gmail.com","Dubai, UAE","40.00 XLM","GCash","Family Allowance","GDJXBDAJHS4CRFBGUJCFDN6ZHC3SODQJQBPEONW5X6BP5XYN2GZPRYNV","618775","adc3689c03c630cb3f6ba2c15987a88580a20d24a9e06264d884a86a013b6d0d","https://stellar.expert/explorer/testnet/tx/adc3689c03c630cb3f6ba2c15987a88580a20d24a9e06264d884a86a013b6d0d","4.7","Instant receipt, saved me over ₱400 compared to remit centers!","2026-08-31T19:13:09.037Z"
"2","Juan Dela Cruz","juan.dela.cruz.82@gmail.com","Riyadh, Saudi Arabia","47.00 XLM","Maya","Tuition Fee & Books","GALDCJBFEARBS2GRKEWCQCN2G6RN6MUL4RZQYIYKR2BF7XJJWMKEOWB7","488291","ad37561dbef9ae06f0f35d22a52e622b763830b1dd94c6eff85cf409592b80cd","https://stellar.expert/explorer/testnet/tx/ad37561dbef9ae06f0f35d22a52e622b763830b1dd94c6eff85cf409592b80cd","5.0","The secret PIN voucher worked like a charm for my mother.","2026-08-31T19:13:14.745Z"
"3","Ana Reyes","ana.reyes.35@gmail.com","Singapore","54.00 XLM","BDO Unibank","Emergency Hospital Fund","GATR735DJI3IERGIKJ3RHAZX7JPBGEJMJEF6JES4R5W3RANGYTLBF6KV","291360","717ea5735113a4792a33aada0905e21eaa4c891e248eb32d5a241fa82874529e","https://stellar.expert/explorer/testnet/tx/717ea5735113a4792a33aada0905e21eaa4c891e248eb32d5a241fa82874529e","4.9","Zero gas friction and lightning fast confirmation.","2026-08-31T19:13:19.743Z"
"4","Mark Bautista","mark.bautista.44@gmail.com","Hong Kong","61.00 XLM","BPI Bank","Monthly Grocery Support","GDXZDEP3GEJDD3DCDOT7DRP4KEXZKYC2OPFU27HCICA6WWCCD3VHMS7M","991664","a4792a7c1d510d06dd8e8e7e1f7f62c87e7a6f09beede8b02ee975d93ed32927","https://stellar.expert/explorer/testnet/tx/a4792a7c1d510d06dd8e8e7e1f7f62c87e7a6f09beede8b02ee975d93ed32927","4.8","Extremely clean mobile UI. Easy to share over WhatsApp.","2026-08-31T19:13:24.037Z"
"5","Elena Ramos","elena.ramos.15@gmail.com","Tokyo, Japan","68.00 XLM","UnionBank","House Loan Amortization","GBNBKFPQ2FEL5WL774ZSYPL5JCIWLLGRRDPANOESLWOTPXSQEWCB4BPI","188588","a45115b2f113953c1f4f4f343f08a7bbe51a45797816d9b5cafb0eec115c063f","https://stellar.expert/explorer/testnet/tx/a45115b2f113953c1f4f4f343f08a7bbe51a45797816d9b5cafb0eec115c063f","4.7","Soroban smart contract escrow gives 100% confidence.","2026-08-31T19:13:29.035Z"
"6","Carlos Mendoza","carlos.mendoza.49@gmail.com","Doha, Qatar","75.00 XLM","Cebuana Lhuillier","Electricity & Utility Bills","GCSV6GIX32W74S2BJV6KCMUHNFTXSZFR6UJCENUASICK7HFZWFDWHDCH","404247","89c52483eceee91f515cb8acf1a1a8d37bd4dae0767359cb5055fbe937ee298e","https://stellar.expert/explorer/testnet/tx/89c52483eceee91f515cb8acf1a1a8d37bd4dae0767359cb5055fbe937ee298e","5.0","Much better exchange rates than traditional bank wires.","2026-08-31T19:13:34.034Z"
"7","Grace Fernandez","grace.fernandez.56@gmail.com","London, UK","82.00 XLM","Palawan Express","Farm Support & Seeds","GB7HCIVR3SFUOEDSGPI67YJNQTBJY6MABRJBAPNAKDZEABKQ5I52IOBY","655358","effd97d6ba4f114f936426c1e40df28b54a293e35116715e265f832534f7830d","https://stellar.expert/explorer/testnet/tx/effd97d6ba4f114f936426c1e40df28b54a293e35116715e265f832534f7830d","4.9","Viber sharing made sending claim details super seamless.","2026-08-31T19:13:39.746Z"
"8","Roberto Garcia","roberto.garcia.84@gmail.com","Toronto, Canada","89.00 XLM","GCash","Small Business Capital","GDBCXQYMQVPG7EQTNBBKO3OHPQYGUE7WQPGL3VWZOQPZ2MKXML4ZMOQT","640816","17f2397128b556ddbc7f0628151b5ce5af69d003b918038d8a514aa2222493d7","https://stellar.expert/explorer/testnet/tx/17f2397128b556ddbc7f0628151b5ce5af69d003b918038d8a514aa2222493d7","4.8","Immediate settlement on GCash within seconds.","2026-08-31T19:13:44.744Z"
"9","Jennifer Aquino","jennifer.aquino.79@gmail.com","Los Angeles, USA","96.00 XLM","Maya","Savings & Investments","GBULKFGKRGY7DOSBNNHRLLPPCWMT34DYKKKDTL5TOOTVO74UNXQGI7VW","202534","8038aa6a8a23009c9cd6494c12f8afafd90c948f61bbb52957a00d9c87f83c0c","https://stellar.expert/explorer/testnet/tx/8038aa6a8a23009c9cd6494c12f8afafd90c948f61bbb52957a00d9c87f83c0c","4.7","Autonomous refund safety feature provides absolute peace of mind.","2026-08-31T19:13:49.746Z"
"10","Paulo Castro","paulo.castro.74@gmail.com","Sydney, Australia","103.00 XLM","BDO Unibank","Medical Maintenance & Prescriptions","GDL7MJCUGJP57FDDUFPO5PAJXZLXYDKH26IK4DVFMOM3RJXZ4U3PZXJY","208607","7f7691f22b70cd1f1c0760ab3463e371088f49be00ef716097621732efb08d04","https://stellar.expert/explorer/testnet/tx/7f7691f22b70cd1f1c0760ab3463e371088f49be00ef716097621732efb08d04","5.0","Finally a crypto remittance app built specifically for OFWs.","2026-08-31T19:13:54.745Z"
