ID,Name,Role,Origin Country,Amount,Payout Channel,Purpose,Recipient Wallet,Claim PIN,Tx Hash,Stellar Expert URL,Rating,Feedback,Timestamp
"1","Maria Santos","OFW Nurse","Dubai, UAE","75.00 XLM","GCash","Family Allowance","GBIGSHOTD46OIUQRPLNIEZIVNH6QKNHJRCV2F2GP7HZ47H45SOWEWU3D","628180","306231c534f9b76659a5efc3c9454632d5a01118c47dc294380e5ea3873e71ce","https://stellar.expert/explorer/testnet/tx/306231c534f9b76659a5efc3c9454632d5a01118c47dc294380e5ea3873e71ce","5","Instant received, zero fees!","2026-08-31T19:11:09.035Z"
"2","Juan Dela Cruz","Civil Engineer","Riyadh, Saudi Arabia","120.00 XLM","Maya","Tuition Fee","GDWFXHIOAMRMOGFC3KR6OJRCS5JSSLLW65NFGKCPNJS5KU6Z3DTXGVNK","594388","bee95305a9c55784e24d629935cebb82864613bc283a059845be54373418f98f","https://stellar.expert/explorer/testnet/tx/bee95305a9c55784e24d629935cebb82864613bc283a059845be54373418f98f","5","Voucher PIN worked perfectly for my wife.","2026-08-31T19:11:14.034Z"
"3","Ana Reyes","Hospitality Mgr","Singapore","50.00 XLM","BDO Unibank","Emergency Medical","GA7YP7WAE6FZL4LHTG5NPNR72VF3KDZJGV3NKAIWCNFBTUV3NCI3OJQY","830116","63ddd0b88cdb86be585924bacb17ebc94091fa5085920dd8be942a65c863336c","https://stellar.expert/explorer/testnet/tx/63ddd0b88cdb86be585924bacb17ebc94091fa5085920dd8be942a65c863336c","4.8","Much faster than Western Union.","2026-08-31T19:11:19.740Z"
"4","Mark Bautista","IT Specialist","Doha, Qatar","100.00 XLM","GCash","House Loan Amortization","GBV53I7GEZ45JOZSFZHKRVCUSTXWMQEYZ5ZVSURLL7TE7UO4LU6LQJFZ","913688","d4a87ae6296cee6e85182896d5d82a8aa15b9039fae39fcfbcf1d4086ef6eb4d","https://stellar.expert/explorer/testnet/tx/d4a87ae6296cee6e85182896d5d82a8aa15b9039fae39fcfbcf1d4086ef6eb4d","5","The QR voucher flow is very intuitive.","2026-08-31T19:11:24.032Z"
"5","Elena Ramos","Domestic Specialist","Hong Kong","45.00 XLM","Cebuana Lhuillier","Grocery Allowance","GAALAVIHUE6PNYTJ4BZ5BMFG5KM4PLNNEVD5UT34OYE3XZWF2KT2QAMW","950432","0b7f060567e8ff7aa4cc72c11436d62493ade46d3a8bc31754a5d0f513c39132","https://stellar.expert/explorer/testnet/tx/0b7f060567e8ff7aa4cc72c11436d62493ade46d3a8bc31754a5d0f513c39132","4.9","Saved ₱300 in bank fees.","2026-08-31T19:11:29.030Z"
"6","Carlos Mendoza","Software Engineer","Tokyo, Japan","150.00 XLM","UnionBank","Investment Fund","GBVHTR5AOWQVXSELA2RONPGNRSW43CUSPOCEGRLRGZWFQ34MHB557JNE","500489","0a08e4538c53d441b71e3b88cdba50df9cc38354f9c03ea3f8f4434ae0b451c9","https://stellar.expert/explorer/testnet/tx/0a08e4538c53d441b71e3b88cdba50df9cc38354f9c03ea3f8f4434ae0b451c9","5","Soroban smart contracts make it feel secure.","2026-08-31T19:11:34.740Z"
"7","Grace Fernandez","Caregiver","Toronto, Canada","80.00 XLM","GCash","Electricity & Water Bills","GCHRHMDWGK6J67OPPT4QEEMGJARK6TUTVOM7X46EUC3SL4GJLGDP33TV","892626","ecb5a71afb9bed8568ec0df68b734aa1253811702a4b198daf42b176d6356df7","https://stellar.expert/explorer/testnet/tx/ecb5a71afb9bed8568ec0df68b734aa1253811702a4b198daf42b176d6356df7","5","Love the instant SMS share option.","2026-08-31T19:11:39.742Z"
"8","Roberto Garcia","Chef","London, UK","110.00 XLM","BPI Bank","School Supplies","GBTL5AMKOCEQOKR4HYFFUA6R7AYKOB7P3HHXDR4DG4PWUB73FAUDKO5K","452461","d820114fc95fd5ed1b6aef5813977d5ae58abb8a17dc56d545d251b6acab4d03","https://stellar.expert/explorer/testnet/tx/d820114fc95fd5ed1b6aef5813977d5ae58abb8a17dc56d545d251b6acab4d03","4.7","Very clean UI on mobile.","2026-08-31T19:11:44.740Z"
"9","Jennifer Aquino","Accountant","Los Angeles, USA","90.00 XLM","Maya","Mother Medication","GCOA3XMJTB5I4ZITZHU6WVKNQFJPQPSOZR7NAIKEPPMBKG2SPX4KC73O","300231","bc0f783f7f9510a79681b143961890d1bda13c253cfc7a081cd0a7d34d25c2c5","https://stellar.expert/explorer/testnet/tx/bc0f783f7f9510a79681b143961890d1bda13c253cfc7a081cd0a7d34d25c2c5","5","Less than 5 second confirmation on Stellar.","2026-08-31T19:11:49.739Z"
"10","Paulo Castro","Mechanic","Sydney, Australia","60.00 XLM","GCash","Farm Fertilizer Support","GDHH3ZL6ZUP6KZFZC75A4C2TRLBTLQ2EMXTTKPBOXZYOQQPJKADOQCES","532643","3095cb3f4cffb2f28d5026b9518c1fa3fea045fc2c3254a0609f83910d6584ab","https://stellar.expert/explorer/testnet/tx/3095cb3f4cffb2f28d5026b9518c1fa3fea045fc2c3254a0609f83910d6584ab","4.9","100% refund safety gives me peace of mind.","2026-08-31T19:11:54.037Z"
"11","Teresa Dizon","Teacher","Milan, Italy","85.00 XLM","GCash","Sibling Allowance","GATZFJU5H5VJMQJ74TAHVP3S33AE44OZQT46GJD4ZZHBCQHH6BP457EB","779306","f2d7c3eabf602fafd803ae72f3a6c66c9ac1e5f83f76845634a5b7c455298b67","https://stellar.expert/explorer/testnet/tx/f2d7c3eabf602fafd803ae72f3a6c66c9ac1e5f83f76845634a5b7c455298b67","5","Super simple to use.","2026-08-31T19:11:59.739Z"
"12","Michael Ocampo","Seafarer","Kuwait City, Kuwait","130.00 XLM","BDO Unibank","Monthly Savings","GCMHGTAGGPOSIG3NNBKSAMMWEBBBUCZOLPTCFKBICOQXWGTW3IKEIQ3T","994937","01b1a9493631820af051db92f89a150601b9028d70e81704e976ddec148f0676","https://stellar.expert/explorer/testnet/tx/01b1a9493631820af051db92f89a150601b9028d70e81704e976ddec148f0676","5","Crypto remittance made simple for Filipinos.","2026-08-31T19:12:04.030Z"
